Absol,(9, 3),planted=(9, 3),detonate=54.0,action=2,Qvals=[3.9860000610351562, -1000000000.0, 4.097300052642822, -1000000000.0, 4.013000011444092, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=53.0,action=2,Qvals=[3.9623000621795654, -1000000000.0, 4.039299964904785, -1000000000.0, 3.960700035095215, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=52.0,action=2,Qvals=[3.93530011177063, -1000000000.0, 3.9602999687194824, -1000000000.0, 3.888400077819824, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=51.0,action=0,Qvals=[3.9105000495910645, -1000000000.0, 3.901900053024292, -1000000000.0, 3.8376998901367188, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(9, 3),detonate=50.0,action=0,Qvals=[3.6816999912261963, -1000000000.0, -1000000000.0, -1000000000.0, 3.6586999893188477, -1000000000.0, 3.574399948120117, -1000000000.0, 3.5260000228881836, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=50.0,action=0,Qvals=[3.887700080871582, -1000000000.0, 3.8422000408172607, -1000000000.0, 3.786099910736084, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(10, 3),detonate=48.0,action=0,Qvals=[3.5769999027252197, -1000000000.0, -1000000000.0, -1000000000.0, 3.5492000579833984, -1000000000.0, 3.450700044631958, -1000000000.0, 3.3991000652313232, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=49.0,action=0,Qvals=[3.8529999256134033, -1000000000.0, 3.7855000495910645, -1000000000.0, 3.7348999977111816, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(10, 3),detonate=48.0,action=0,Qvals=[3.5769999027252197, -1000000000.0, -1000000000.0, -1000000000.0, 3.5492000579833984, -1000000000.0, 3.450700044631958, -1000000000.0, 3.3991000652313232, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=48.0,action=0,Qvals=[3.787400007247925, -1000000000.0, 3.711400032043457, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=48.0,action=0,Qvals=[3.5578999519348145, -1000000000.0, -1000000000.0, -1000000000.0, 3.2555999755859375, -1000000000.0, 3.4309000968933105, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(10, 3),detonate=48.0,action=0,Qvals=[3.5769999027252197, -1000000000.0, -1000000000.0, -1000000000.0, 3.5492000579833984, -1000000000.0, 3.450700044631958, -1000000000.0, 3.3991000652313232, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=47.0,action=0,Qvals=[3.7372000217437744, -1000000000.0, 3.658799886703491, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=47.0,action=0,Qvals=[3.5067999362945557, -1000000000.0, -1000000000.0, -1000000000.0, 3.1974000930786133, -1000000000.0, 3.379199981689453, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(9, 3),detonate=46.0,action=0,Qvals=[3.596400022506714, -1000000000.0, -1000000000.0, -1000000000.0, 3.4644999504089355, -1000000000.0, 3.4056999683380127, -1000000000.0, 3.3577001094818115, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=46.0,action=0,Qvals=[3.686300039291382, -1000000000.0, 3.6064000129699707, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=46.0,action=0,Qvals=[3.4537999629974365, -1000000000.0, -1000000000.0, -1000000000.0, 3.137200117111206, -1000000000.0, 3.325700044631958, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(10, 2),detonate=44.0,action=0,Qvals=[3.4581000804901123, -1000000000.0, -1000000000.0, -1000000000.0, 3.363800048828125, -1000000000.0, 3.2047998905181885, -1000000000.0, 3.2337000370025635, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=45.0,action=0,Qvals=[3.6338000297546387, -1000000000.0, 3.5536999702453613, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=45.0,action=0,Qvals=[3.394200086593628, -1000000000.0, -1000000000.0, -1000000000.0, 3.071199893951416, -1000000000.0, 3.265500068664551, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(10, 2),detonate=44.0,action=0,Qvals=[3.4581000804901123, -1000000000.0, -1000000000.0, -1000000000.0, 3.363800048828125, -1000000000.0, 3.2047998905181885, -1000000000.0, 3.2337000370025635, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=44.0,action=0,Qvals=[3.581199884414673, -1000000000.0, 3.500999927520752, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=44.0,action=0,Qvals=[3.3327999114990234, -1000000000.0, -1000000000.0, -1000000000.0, 3.004499912261963, -1000000000.0, 3.2035999298095703, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(9, 3),detonate=44.0,action=0,Qvals=[3.5318000316619873, -1000000000.0, -1000000000.0, -1000000000.0, 3.369999885559082, -1000000000.0, 3.3171000480651855, -1000000000.0, 3.2688000202178955, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=43.0,action=0,Qvals=[3.5274999141693115, -1000000000.0, 3.4472999572753906, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=43.0,action=0,Qvals=[3.272200107574463, -1000000000.0, -1000000000.0, -1000000000.0, 2.9386000633239746, -1000000000.0, 3.140899896621704, -1000000000.0, -1000000000.0, -1000000000.0]
